label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param
preheater;HeatExchanger;[];[];[];[];[];[];[];nan;False;False;-3248625.1567540187;False;False;5301886.592166843;False;False;0.612730034918821;False;False;4.945377440890297e-12;False;False;17.712073362332944;False;False;0.98;True;False;0.9800000000000001;True;False;147698.91817285315;False;False;70444.63951837084;False;False;0x000001B9A1D5E190;False;m;0x000001B9A1CDCC10;False;m
evaporator;HeatExchanger;[];[];[];[];[];[];[];nan;False;False;-2785390.2167815473;False;False;2492424.1725702872;False;False;1.1175426106982191;False;False;32.99999999999977;False;False;4.945377440890297e-12;False;False;0.98;True;False;1.0;False;False;147110.06390661187;False;False;0.0;False;False;0x000001B9A1D4F7F0;False;m;0x000001B9FA7196D0;False;m
